"ID","Set","Category","Card Type","Level","Suggested Mode","Depth","Prompt","Design Treatment","Facilitator Note","Rationale"
"SOC-03","Strangers on Camera","Strangers on Camera","Question","Level 1","Strangers on Camera","Low","What is one question you wish interviewers asked more often?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-04","Strangers on Camera","Strangers on Camera","Question","Level 1","Strangers on Camera","Low","What do you hope people feel after hearing you speak?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-05","Strangers on Camera","Strangers on Camera","Question","Level 1","Strangers on Camera","Low","What is a small detail that says a lot about you?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-06","Strangers on Camera","Strangers on Camera","Question","Level 1","Strangers on Camera","Low","What is one belief you carry into every room?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-07","Strangers on Camera","Strangers on Camera","Question","Level 1","Strangers on Camera","Low","What does your voice sound like when you feel safe?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-08","Strangers on Camera","Strangers on Camera","Question","Level 1","Strangers on Camera","Low","What is one thing you want to be known for beyond your work?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-09","Strangers on Camera","Strangers on Camera","Question","Level 1","Strangers on Camera","Low","What is a place that shaped your way of seeing people?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-10","Strangers on Camera","Strangers on Camera","Question","Level 1","Strangers on Camera","Low","What is a moment you wish someone had recorded?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-11","Strangers on Camera","Strangers on Camera","Question","Level 1","Strangers on Camera","Low","What is a story you usually edit down too much?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-12","Strangers on Camera","Strangers on Camera","Question","Level 1","Strangers on Camera","Low","What is something you learned from someone much older than you?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-13","Strangers on Camera","Strangers on Camera","Question","Level 1","Strangers on Camera","Low","What is something you learned from someone much younger than you?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-14","Strangers on Camera","Strangers on Camera","Question","Level 1","Strangers on Camera","Low","What is one assumption people make about your background?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-15","Strangers on Camera","Strangers on Camera","Question","Level 1","Strangers on Camera","Low","What is one thing your background gave you that you treasure?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-16","Strangers on Camera","Strangers on Camera","Question","Level 1","Strangers on Camera","Medium","When have you felt like an outsider in a room?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-17","Strangers on Camera","Strangers on Camera","Question","Level 1","Strangers on Camera","Medium","When have you felt unexpectedly welcomed?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-18","Strangers on Camera","Strangers on Camera","Question","Level 2","Strangers on Camera","Medium","What is a question that could help two very different people begin?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-19","Strangers on Camera","Strangers on Camera","Question","Level 2","Strangers on Camera","Medium","What do you think people get wrong about loneliness?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-20","Strangers on Camera","Strangers on Camera","Question","Level 2","Strangers on Camera","Medium","What do you think people get right about connection?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-21","Strangers on Camera","Strangers on Camera","Question","Level 2","Strangers on Camera","Medium","What is one public moment when you felt seen?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-22","Strangers on Camera","Strangers on Camera","Question","Level 2","Strangers on Camera","Medium","What is one public moment when you felt invisible?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-23","Strangers on Camera","Strangers on Camera","Question","Level 2","Strangers on Camera","Medium","What is one thing you wish your younger self could hear you say?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-24","Strangers on Camera","Strangers on Camera","Question","Level 2","Strangers on Camera","Medium","What is a turning point that still affects how you connect?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-25","Strangers on Camera","Strangers on Camera","Question","Level 2","Strangers on Camera","Medium","What kind of difference are you no longer afraid of?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-26","Strangers on Camera","Strangers on Camera","Question","Level 2","Strangers on Camera","Medium","What is one thing you want to understand about people unlike you?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-27","Strangers on Camera","Strangers on Camera","Question","Level 2","Strangers on Camera","Medium","What is a memory that changed how you listen?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-28","Strangers on Camera","Strangers on Camera","Question","Level 2","Strangers on Camera","Medium","What is a story you inherited but had to rewrite?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-29","Strangers on Camera","Strangers on Camera","Question","Level 2","Strangers on Camera","Medium","What is something you believe because of where you come from?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-30","Strangers on Camera","Strangers on Camera","Question","Level 2","Strangers on Camera","Medium","What is something you believe because you left where you came from?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-31","Strangers on Camera","Strangers on Camera","Question","Level 2","Strangers on Camera","Medium","What part of your identity feels easiest to explain?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-32","Strangers on Camera","Strangers on Camera","Question","Level 2","Strangers on Camera","Medium","What part of your identity feels hardest to explain?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-33","Strangers on Camera","Strangers on Camera","Question","Level 2","Strangers on Camera","Medium","What is one question that makes you feel respected?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-34","Strangers on Camera","Strangers on Camera","Question","Level 2","Strangers on Camera","Medium","What is one question that makes you shut down?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-35","Strangers on Camera","Strangers on Camera","Question","Level 3","Strangers on Camera","Medium","What does dignity mean to you in conversation?","Camera Black / Warm Cream","Suitable for early playtesting.","Expands the Strangers on Camera play context."
"SOC-36","Strangers on Camera","Strangers on Camera","Question","Level 3","Strangers on Camera","High","What is one truth you wish more people would sit with?","Camera Black / Warm Cream","Best after trust has warmed up; passing is always allowed.","Expands the Strangers on Camera play context."
"SOC-37","Strangers on Camera","Strangers on Camera","Question","Level 3","Strangers on Camera","High","What is one story you are tired of being asked to represent?","Camera Black / Warm Cream","Best after trust has warmed up; passing is always allowed.","Expands the Strangers on Camera play context."
"SOC-38","Strangers on Camera","Strangers on Camera","Question","Level 3","Strangers on Camera","High","What is one story you are proud to represent?","Camera Black / Warm Cream","Best after trust has warmed up; passing is always allowed.","Expands the Strangers on Camera play context."
"SOC-39","Strangers on Camera","Strangers on Camera","Question","Level 3","Strangers on Camera","High","What do you protect when you are being watched?","Camera Black / Warm Cream","Best after trust has warmed up; passing is always allowed.","Expands the Strangers on Camera play context."
"SOC-40","Strangers on Camera","Strangers on Camera","Question","Level 3","Strangers on Camera","High","What becomes possible when the camera feels kind?","Camera Black / Warm Cream","Best after trust has warmed up; passing is always allowed.","Expands the Strangers on Camera play context."
"SOC-41","Strangers on Camera","Strangers on Camera","Question","Level 3","Strangers on Camera","High","What is one answer you are still growing into?","Camera Black / Warm Cream","Best after trust has warmed up; passing is always allowed.","Expands the Strangers on Camera play context."
"SOC-42","Strangers on Camera","Strangers on Camera","Question","Level 3","Strangers on Camera","High","What is one silence you would not want edited out?","Camera Black / Warm Cream","Best after trust has warmed up; passing is always allowed.","Expands the Strangers on Camera play context."
"SOC-43","Strangers on Camera","Strangers on Camera","Question","Level 3","Strangers on Camera","High","What does being understood across difference require?","Camera Black / Warm Cream","Best after trust has warmed up; passing is always allowed.","Expands the Strangers on Camera play context."
"SOC-44","Strangers on Camera","Strangers on Camera","Question","Level 3","Strangers on Camera","High","What is something you can offer this room that no one else can?","Camera Black / Warm Cream","Best after trust has warmed up; passing is always allowed.","Expands the Strangers on Camera play context."
"SOC-45","Strangers on Camera","Strangers on Camera","Question","Level 3","Strangers on Camera","High","What is one thing you hope survives the edit?","Camera Black / Warm Cream","Best after trust has warmed up; passing is always allowed.","Expands the Strangers on Camera play context."
"SOC-46","Strangers on Camera","Strangers on Camera","Question","Level 3","Strangers on Camera","High","What question would reveal the person behind the performance?","Camera Black / Warm Cream","Best after trust has warmed up; passing is always allowed.","Expands the Strangers on Camera play context."
"SOC-47","Strangers on Camera","Strangers on Camera","Question","Level 3","Strangers on Camera","High","What would make this conversation feel honest on camera?","Camera Black / Warm Cream","Best after trust has warmed up; passing is always allowed.","Expands the Strangers on Camera play context."
"SOC-48","Strangers on Camera","Strangers on Camera","Question","Level 3","Strangers on Camera","High","What do you want strangers to remember about your humanity?","Camera Black / Warm Cream","Best after trust has warmed up; passing is always allowed.","Expands the Strangers on Camera play context."
"SOC-49","Strangers on Camera","Strangers on Camera","Question","Level 3","Strangers on Camera","High","What bridge do you want your story to build?","Camera Black / Warm Cream","Best after trust has warmed up; passing is always allowed.","Expands the Strangers on Camera play context."
"SOC-50","Strangers on Camera","Strangers on Camera","Question","Level 3","Strangers on Camera","High","What should the final question of this interview be?","Camera Black / Warm Cream","Best after trust has warmed up; passing is always allowed.","Expands the Strangers on Camera play context."
"DIN-01","Dinner Party","Dinner Party","Question","Level 1","Dinner Party","Low","What is the best thing you have eaten recently?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-02","Dinner Party","Dinner Party","Question","Level 1","Dinner Party","Low","What is a dinner table rule you secretly believe in?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-03","Dinner Party","Dinner Party","Question","Level 1","Dinner Party","Low","What is your ideal seat at a dinner party?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-04","Dinner Party","Dinner Party","Question","Level 1","Dinner Party","Low","What topic always wakes up a room?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-05","Dinner Party","Dinner Party","Question","Level 1","Dinner Party","Low","What is a story you can tell in under one minute?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-06","Dinner Party","Dinner Party","Question","Level 1","Dinner Party","Low","What is one thing you would bring to a shared table?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-07","Dinner Party","Dinner Party","Question","Level 1","Dinner Party","Low","What is a meal that feels like home?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-08","Dinner Party","Dinner Party","Question","Level 1","Dinner Party","Low","What is a host habit you always notice?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-09","Dinner Party","Dinner Party","Question","Level 1","Dinner Party","Low","What is a guest habit you appreciate?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-10","Dinner Party","Dinner Party","Question","Level 1","Dinner Party","Low","What is a conversation you love overhearing?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-11","Dinner Party","Dinner Party","Question","Level 1","Dinner Party","Low","What is a harmless debate you could start right now?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-12","Dinner Party","Dinner Party","Question","Level 1","Dinner Party","Low","What is a food opinion you stand by?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-13","Dinner Party","Dinner Party","Question","Level 1","Dinner Party","Low","What is the best kind of toast?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-14","Dinner Party","Dinner Party","Question","Level 1","Dinner Party","Low","What is a small luxury that improves any gathering?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-15","Dinner Party","Dinner Party","Question","Level 1","Dinner Party","Low","What makes a room feel generous?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-16","Dinner Party","Dinner Party","Question","Level 1","Dinner Party","Medium","What is a question that works with almost anyone?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-17","Dinner Party","Dinner Party","Question","Level 1","Dinner Party","Medium","What is a story your friends always ask you to tell?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-18","Dinner Party","Dinner Party","Question","Level 2","Dinner Party","Medium","What is something you recently learned at a table?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-19","Dinner Party","Dinner Party","Question","Level 2","Dinner Party","Medium","What kind of music belongs in the background tonight?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-20","Dinner Party","Dinner Party","Question","Level 2","Dinner Party","Medium","What is a party you still think about?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-21","Dinner Party","Dinner Party","Question","Level 2","Dinner Party","Medium","What is a party you wish you could redo?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-22","Dinner Party","Dinner Party","Question","Level 2","Dinner Party","Medium","What is one thing that makes people linger after dinner?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-23","Dinner Party","Dinner Party","Question","Level 2","Dinner Party","Medium","What makes conversation feel effortless?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-24","Dinner Party","Dinner Party","Question","Level 2","Dinner Party","Medium","What makes conversation feel like work?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-25","Dinner Party","Dinner Party","Question","Level 2","Dinner Party","Medium","Who taught you how to host, directly or indirectly?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-26","Dinner Party","Dinner Party","Question","Level 2","Dinner Party","Medium","What is a tradition you would start with friends?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-27","Dinner Party","Dinner Party","Question","Level 2","Dinner Party","Medium","What is one question that could make this table kinder?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-28","Dinner Party","Dinner Party","Question","Level 2","Dinner Party","Medium","What is one thing people should stop apologizing for at dinner?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-29","Dinner Party","Dinner Party","Question","Level 2","Dinner Party","Medium","What is a moment when strangers became less strange?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-30","Dinner Party","Dinner Party","Question","Level 2","Dinner Party","Medium","What is your favorite kind of shared silence?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-31","Dinner Party","Dinner Party","Question","Level 2","Dinner Party","Medium","What is something you want more people to ask you about?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-32","Dinner Party","Dinner Party","Question","Level 2","Dinner Party","Medium","What is something you are happy to explain badly?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-33","Dinner Party","Dinner Party","Question","Level 2","Dinner Party","Medium","What is one way this table could surprise itself?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-34","Dinner Party","Dinner Party","Question","Level 2","Dinner Party","Medium","What is a compliment someone here might need?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-35","Dinner Party","Dinner Party","Question","Level 3","Dinner Party","Medium","What is one memory that tastes like a specific food?","Wine / Candlelight","Suitable for early playtesting.","Expands the Dinner Party play context."
"DIN-36","Dinner Party","Dinner Party","Question","Level 3","Dinner Party","High","What did your childhood dinner table teach you?","Wine / Candlelight","Best after trust has warmed up; passing is always allowed.","Expands the Dinner Party play context."
"DIN-37","Dinner Party","Dinner Party","Question","Level 3","Dinner Party","High","What did your childhood dinner table not teach you?","Wine / Candlelight","Best after trust has warmed up; passing is always allowed.","Expands the Dinner Party play context."
"DIN-38","Dinner Party","Dinner Party","Question","Level 3","Dinner Party","High","What is a topic you avoid until you trust the room?","Wine / Candlelight","Best after trust has warmed up; passing is always allowed.","Expands the Dinner Party play context."
"DIN-39","Dinner Party","Dinner Party","Question","Level 3","Dinner Party","High","What makes you feel included in a group conversation?","Wine / Candlelight","Best after trust has warmed up; passing is always allowed.","Expands the Dinner Party play context."
"DIN-40","Dinner Party","Dinner Party","Question","Level 3","Dinner Party","High","What makes you disappear in a group conversation?","Wine / Candlelight","Best after trust has warmed up; passing is always allowed.","Expands the Dinner Party play context."
"DIN-41","Dinner Party","Dinner Party","Question","Level 3","Dinner Party","High","What is one truth best said after dessert?","Wine / Candlelight","Best after trust has warmed up; passing is always allowed.","Expands the Dinner Party play context."
"DIN-42","Dinner Party","Dinner Party","Question","Level 3","Dinner Party","High","What is one question you would ask if no one could judge it?","Wine / Candlelight","Best after trust has warmed up; passing is always allowed.","Expands the Dinner Party play context."
"DIN-43","Dinner Party","Dinner Party","Question","Level 3","Dinner Party","High","What is a room you are still trying to belong in?","Wine / Candlelight","Best after trust has warmed up; passing is always allowed.","Expands the Dinner Party play context."
"DIN-44","Dinner Party","Dinner Party","Question","Level 3","Dinner Party","High","What kind of people make you feel more alive?","Wine / Candlelight","Best after trust has warmed up; passing is always allowed.","Expands the Dinner Party play context."
"DIN-45","Dinner Party","Dinner Party","Question","Level 3","Dinner Party","High","What is a gathering you wish existed?","Wine / Candlelight","Best after trust has warmed up; passing is always allowed.","Expands the Dinner Party play context."
"DIN-46","Dinner Party","Dinner Party","Question","Level 3","Dinner Party","High","What should every good dinner party make room for?","Wine / Candlelight","Best after trust has warmed up; passing is always allowed.","Expands the Dinner Party play context."
"DIN-47","Dinner Party","Dinner Party","Question","Level 3","Dinner Party","High","What would you want this table to remember about you?","Wine / Candlelight","Best after trust has warmed up; passing is always allowed.","Expands the Dinner Party play context."
"DIN-48","Dinner Party","Dinner Party","Question","Level 3","Dinner Party","High","What should we talk about before everyone leaves?","Wine / Candlelight","Best after trust has warmed up; passing is always allowed.","Expands the Dinner Party play context."
"DIN-49","Dinner Party","Dinner Party","Question","Level 3","Dinner Party","High","What is one thing you are taking from this table?","Wine / Candlelight","Best after trust has warmed up; passing is always allowed.","Expands the Dinner Party play context."
"DIN-50","Dinner Party","Dinner Party","Question","Level 3","Dinner Party","High","What is the toast this room deserves?","Wine / Candlelight","Best after trust has warmed up; passing is always allowed.","Expands the Dinner Party play context."
"BFF-01","Best Friends","Best Friends","Question","Level 1","Best Friends","Low","What is a memory of us that still makes you laugh?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-02","Best Friends","Best Friends","Question","Level 1","Best Friends","Low","What is a memory of us that still makes you emotional?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-03","Best Friends","Best Friends","Question","Level 1","Best Friends","Low","What do you think we understood about each other quickly?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-04","Best Friends","Best Friends","Question","Level 1","Best Friends","Low","What is one thing I do that feels very me?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-05","Best Friends","Best Friends","Question","Level 1","Best Friends","Low","What is one thing you think I forget about myself?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-06","Best Friends","Best Friends","Question","Level 1","Best Friends","Low","What kind of friend am I when I am at my best?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-07","Best Friends","Best Friends","Question","Level 1","Best Friends","Low","What kind of friend am I when I am overwhelmed?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-08","Best Friends","Best Friends","Question","Level 1","Best Friends","Low","What should we celebrate about this friendship?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-09","Best Friends","Best Friends","Question","Level 1","Best Friends","Low","What is a tradition we should protect?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-10","Best Friends","Best Friends","Question","Level 1","Best Friends","Low","What is a tradition we should start?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-11","Best Friends","Best Friends","Question","Level 1","Best Friends","Low","What story from our friendship deserves a title?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-12","Best Friends","Best Friends","Question","Level 1","Best Friends","Low","What era of our friendship do you miss?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-13","Best Friends","Best Friends","Question","Level 1","Best Friends","Low","What era of our friendship are you glad we survived?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-14","Best Friends","Best Friends","Question","Level 1","Best Friends","Low","What is one thing we can talk about without explaining too much?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-15","Best Friends","Best Friends","Question","Level 1","Best Friends","Low","What is one thing we still do not know about each other?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-16","Best Friends","Best Friends","Question","Level 1","Best Friends","Medium","What is a way I have changed that you noticed?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-17","Best Friends","Best Friends","Question","Level 1","Best Friends","Medium","What is a way you have changed that you hope I noticed?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-18","Best Friends","Best Friends","Question","Level 2","Best Friends","Medium","What do you trust me with?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-19","Best Friends","Best Friends","Question","Level 2","Best Friends","Medium","What do you wish you trusted more people with?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-20","Best Friends","Best Friends","Question","Level 2","Best Friends","Medium","What is a boundary that keeps our friendship healthy?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-21","Best Friends","Best Friends","Question","Level 2","Best Friends","Medium","What is a small check-in that would help us stay close?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-22","Best Friends","Best Friends","Question","Level 2","Best Friends","Medium","What does loyalty look like between us now?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-23","Best Friends","Best Friends","Question","Level 2","Best Friends","Medium","What is a friendship habit we have outgrown?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-24","Best Friends","Best Friends","Question","Level 2","Best Friends","Medium","What is a friendship habit we should bring back?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-25","Best Friends","Best Friends","Question","Level 2","Best Friends","Medium","What is something I helped you through without knowing?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-26","Best Friends","Best Friends","Question","Level 2","Best Friends","Medium","What is something you helped me through without knowing?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-27","Best Friends","Best Friends","Question","Level 2","Best Friends","Medium","What do you think people misunderstand about our friendship?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-28","Best Friends","Best Friends","Question","Level 2","Best Friends","Medium","What is a moment when you felt proud of me?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-29","Best Friends","Best Friends","Question","Level 2","Best Friends","Medium","What is a moment when you felt protective of me?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-30","Best Friends","Best Friends","Question","Level 2","Best Friends","Medium","What is something you wish I asked you more often?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-31","Best Friends","Best Friends","Question","Level 2","Best Friends","Medium","What is something you want me to stop minimizing?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-32","Best Friends","Best Friends","Question","Level 2","Best Friends","Medium","What is a dream of mine you still remember?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-33","Best Friends","Best Friends","Question","Level 2","Best Friends","Medium","What is a dream of yours you want me to remember?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-34","Best Friends","Best Friends","Question","Level 2","Best Friends","Medium","What is a version of me you miss?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-35","Best Friends","Best Friends","Question","Level 3","Best Friends","Medium","What is a version of me you are glad I became?","Sky Blue / Clay","Suitable for early playtesting.","Expands the Best Friends play context."
"BFF-36","Best Friends","Best Friends","Question","Level 3","Best Friends","High","What has distance taught us?","Sky Blue / Clay","Best after trust has warmed up; passing is always allowed.","Expands the Best Friends play context."
"BFF-37","Best Friends","Best Friends","Question","Level 3","Best Friends","High","What has closeness taught us?","Sky Blue / Clay","Best after trust has warmed up; passing is always allowed.","Expands the Best Friends play context."
"BFF-38","Best Friends","Best Friends","Question","Level 3","Best Friends","High","What is an apology our friendship taught you how to make?","Sky Blue / Clay","Best after trust has warmed up; passing is always allowed.","Expands the Best Friends play context."
"BFF-39","Best Friends","Best Friends","Question","Level 3","Best Friends","High","What is a repair our friendship still needs?","Sky Blue / Clay","Best after trust has warmed up; passing is always allowed.","Expands the Best Friends play context."
"BFF-40","Best Friends","Best Friends","Question","Level 3","Best Friends","High","What is one thing we should forgive our younger selves for?","Sky Blue / Clay","Best after trust has warmed up; passing is always allowed.","Expands the Best Friends play context."
"BFF-41","Best Friends","Best Friends","Question","Level 3","Best Friends","High","What is something you want us to be honest about now?","Sky Blue / Clay","Best after trust has warmed up; passing is always allowed.","Expands the Best Friends play context."
"BFF-42","Best Friends","Best Friends","Question","Level 3","Best Friends","High","What is a hard thing you would trust me to hear?","Sky Blue / Clay","Best after trust has warmed up; passing is always allowed.","Expands the Best Friends play context."
"BFF-43","Best Friends","Best Friends","Question","Level 3","Best Friends","High","What is a kind thing you have not said out loud yet?","Sky Blue / Clay","Best after trust has warmed up; passing is always allowed.","Expands the Best Friends play context."
"BFF-44","Best Friends","Best Friends","Question","Level 3","Best Friends","High","What do you hope our friendship looks like in ten years?","Sky Blue / Clay","Best after trust has warmed up; passing is always allowed.","Expands the Best Friends play context."
"BFF-45","Best Friends","Best Friends","Question","Level 3","Best Friends","High","What do you hope never changes between us?","Sky Blue / Clay","Best after trust has warmed up; passing is always allowed.","Expands the Best Friends play context."
"BFF-46","Best Friends","Best Friends","Question","Level 3","Best Friends","High","What do you hope keeps changing between us?","Sky Blue / Clay","Best after trust has warmed up; passing is always allowed.","Expands the Best Friends play context."
"BFF-47","Best Friends","Best Friends","Question","Level 3","Best Friends","High","What is one promise we should make to this friendship?","Sky Blue / Clay","Best after trust has warmed up; passing is always allowed.","Expands the Best Friends play context."
"BFF-48","Best Friends","Best Friends","Question","Level 3","Best Friends","High","What would make us feel closer this season?","Sky Blue / Clay","Best after trust has warmed up; passing is always allowed.","Expands the Best Friends play context."
"BFF-49","Best Friends","Best Friends","Question","Level 3","Best Friends","High","What should I thank you for more specifically?","Sky Blue / Clay","Best after trust has warmed up; passing is always allowed.","Expands the Best Friends play context."
